gene,log2FC,t,pval,FDR,cohen_d
AGPS,-0.09021658409305378,-0.9720670778563516,0.3351905516683531,,-0.20269649852850657
TERLR1,0.0,,,,
RNU7-52P,0.0,,,,
RPS23P7,-0.025,-1.0000000000000002,0.3234749451713832,,-0.311118742275151
MIR4793,0.3463605384403994,1.261295087690302,0.21143212027825584,,0.2306180167304942
METTL2A,0.08637799267592206,1.1457150536148353,0.25557893290166905,,0.20173795603227404
SLC6A19,0.11229700225031439,1.4379851547182771,0.15322656607662763,,0.157070506114095
CIBAR2,-0.5184042679064826,-1.534401802221887,0.13220997648841004,,-0.40875153474930165
NCKIPSD,0.05758863878531617,0.5342674113401559,0.5951037673651178,,0.10543303711110102
LINC02139,0.0,,,,
COX6CP16,-0.1269715237989811,-1.3010370518254848,0.19819041617198785,,-0.25803273875729227
LINC00311,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099886
MIR5093,-0.09154477872291165,-1.1030571536950629,0.27549923115710795,,-0.261898442424041
KIAA0513,-0.2918538454747184,-1.847058229515075,0.06864623572546803,,-0.3227136752497305
MRC2,1.1073552067265942,4.344839719300111,6.773325621590628e-05,,0.9889255865444416
SLC6A18,0.19101424988716398,2.3591058405239087,0.02005125029694891,,0.25768412638474336
USP5,0.24340072505624644,2.794384411004374,0.0073799535960439085,,0.6454387803035623
MED20,0.04923642362381342,0.49403381473951,0.6228300644241178,,0.08987444625214243
TERT,1.0552488443882475,5.51197213767327,2.787407987935941e-07,,0.8527682365186384
SMTNL1,0.1136102573935438,0.7659156143196285,0.44713810563331535,,0.16728368642774338
ZSCAN23,-0.18525063540414877,-1.504088941576918,0.13653909741397843,,-0.2572445624594719
OR52I1,-0.036112522588856444,-0.33198423481884276,0.7411316050428697,,-0.06894561441070748
CDR2,0.37089326767647357,2.9004725367442488,0.00516943037032369,,0.5701615096673097
MMP26,-0.016150442477876108,-0.6089891957087118,0.5453381410033722,,-0.14153522064402654
PACRG,-0.18358944830228108,-0.7539008768350508,0.45421916594295486,,-0.16310261315651894
CARD11,0.1449985563608962,0.8877725421864401,0.37788424556700195,,0.16669454373486609
IRAIN,0.0,,,,
CDR2-DT,0.0,,,,
MFSD13B,0.008849557522123894,1.0,0.31946613116109157,,0.10922957417099886
OR51S1,-0.0396240625180289,-1.0,0.3234749451713834,,-0.3111187422751509
LINC02585,-0.05168174778122872,-0.668227427398534,0.5062794139044036,,-0.12432726108880053
VPS13C-DT,0.0,,,,
TYW1B,0.1396571008860974,1.4574917714272042,0.14987268957843203,,0.27884862647407166
MEN1,0.20355952278238032,2.0380248203123257,0.04600915214479503,,0.4085266188153874
NHSL1,-0.02519639626578485,-0.16769464164702919,0.8674302093104855,,-0.035117221872519304
C2CD4A,-0.011205813609358323,-0.1193282223487776,0.9053759668648215,,-0.022352066503758053
LINC02890,0.010398230088495573,0.3409956312020151,0.7340039225014426,,0.058119411731016354
IP6K2,0.3051241041050732,3.290137523406996,0.0015379985836731327,,0.5826256166931656
ERI2,-0.22248784141293587,-2.310925498213039,0.02452360575117422,,-0.480677646892909
RNU6-1336P,0.0,,,,
RPL9P16,0.3625866676023761,4.701259552964858,7.721885867609728e-06,,0.7061299488047713
NPM1P47,0.0,,,,
CBR4,-0.357099435347763,-3.3006291191733204,0.0017503612949519712,,-0.7317993481980765
C2CD4B,-0.03805309734513275,-0.5936688060478621,0.5553722004537059,,-0.134059608185461
MIR8067,0.017699115044247787,1.0,0.31946613116109157,,0.10922957417099886
MIR1272,0.1893423331552807,1.0280035846955762,0.30712612025995406,,0.1770461835667408
PIF1,0.6846290220019844,3.7415393796106313,0.00041739684041568035,,0.7551037122092299
RNU6-853P,0.1601166366651694,1.6250032854052112,0.10749550555765063,,0.257137632422349
RNY4P17,0.06302702918611645,0.6901939740537626,0.49208219649507245,,0.11778911678438238
CBR4-DT,-0.025,-1.0000000000000002,0.3234749451713832,,-0.311118742275151
PALLD,0.2105136064927029,1.6308285993620688,0.10842235331528118,,0.33540686317849
RNU6-446P,0.08638931694727495,0.9582619760547071,0.3404376726029009,,0.15317294329402095
C6orf141,1.8783265962404887,7.937379933201315,1.4028538952775742e-12,,1.1524798730287984
