gene,log2FC,t,pval,FDR,cohen_d
CYFIP1,-0.44297217290320656,-1.7156906666413356,0.10824711251086963,,-0.4808723693153245
SEPTIN9-DT,0.0,,,,
SEPTIN9,0.11471014548046915,0.36475176518106184,0.7212921588840997,,0.12730321650805573
ABCB10P1,0.0,,,,
TUBGCP5,-0.10173099546156861,-0.22469552924935152,0.8257911459167013,,-0.07868277174258728
MAPK4,-0.12275108276997321,-0.5076726778192093,0.6195010729895543,,-0.13965030967223677
ZNF965P,0.0,,,,
RNA5SP458,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284644
GXYLT1P1,0.0,,,,
CYP4F34P,0.0,,,,
CNN2P12,0.0,,,,
SNX18P26,-0.008849557522123894,-1.0,0.31946613116109157,,-0.09858352039284644
LINC00328-2P,0.04644575958063872,0.39762821583997204,0.6974376300827734,,0.13506199468942884
ANKRD20A9P,0.0,,,,
RNU6-55P,0.0,,,,
SPATC1L,0.051211491044499624,0.1931301760721326,0.8496418087866793,,0.05455939770389914
GOLGA6L1,0.0,,,,
APOBEC3B-AS1,0.0,,,,
MPHOSPH10P5,0.0,,,,
APOBEC3A,-0.34799607252693776,-5.823403331985803,5.6046160636974615e-08,,-0.574091601134593
CNTNAP2,0.3684757047157521,0.8750425021054773,0.39736584850572765,,0.2844694677053212
SLC45A2,-0.06707807864579368,-0.3692628267420055,0.717611516135166,,-0.10923138010010866
SMN2,0.15421527985277006,0.4835869449611852,0.6353210899392661,,0.11383059948895576
RXFP3,0.1047197640117994,0.9133700195682692,0.3791509465099704,,0.4047633125004921
ADAMTS12,-0.5338252627544485,-3.456772867310073,0.0023365718898569446,,-0.6298798614239774
DLGAP2-AS1,0.0,,,,
DLGAP2,0.7121754098616988,1.7725610978428807,0.10145387090389063,,0.7343990159367217
ELMO2P1,0.0,,,,
LINC02549,-0.005162241887905608,-0.05896467535480658,0.9538514563279886,,-0.018076044505114318
AP2A2,-0.00382041106969222,-0.013997698783052511,0.9890254097241229,,-0.003790372631347765
ABCB11,-0.061946902654867256,-2.3810547006743263,0.01895067566990247,,-0.2347327546404104
G6PC2,2.339309052577176,5.444690620988461,0.00015958530600911717,,2.579351096912483
AADACL2,-0.11287511063861476,-3.3821206372803503,0.0009914602819104791,,-0.3334213588163945
SPC25,0.7544752810648752,1.9504237656062662,0.07239130261558564,,0.598452784600817
